Title,Recommended_Title,Type,Genres,Similarity_Score
3%,All The Reasons To Forget,Movie,"Comedies, Dramas, International Movies",0.102
3%,Blood Pact,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.09
3%,Lo que la verdad esconde: El caso Asunta (Operacion Nenúfar),TV Show,"Crime TV Shows, Docuseries, International TV Shows",0.086
3%,Lugar de Mulher,TV Show,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",0.086
3%,Back with the Ex,TV Show,"International TV Shows, Reality TV, Romantic TV Shows",0.085
1920,My Friend Pinto,Movie,"Comedies, International Movies, Sci-Fi & Fantasy",0.181
1920,3 Deewarein,Movie,"Dramas, International Movies, Thrillers",0.139
1920,Gour Hari Dastaan: The Freedom File,Movie,"Dramas, Independent Movies, International Movies",0.126
1920,Luv Shuv Tey Chicken Khurana,Movie,"Comedies, International Movies, Romantic Movies",0.123
1920,Lagaan,Movie,"Dramas, International Movies, Music & Musicals",0.111
3 Heroines,Habibie & Ainun,Movie,"Dramas, International Movies, Romantic Movies",0.246
3 Heroines,My Stupid Boss 2,Movie,"Comedies, International Movies",0.215
3 Heroines,My Stupid Boss,Movie,"Comedies, International Movies",0.204
3 Heroines,Rudy Habibie,Movie,"Dramas, International Movies",0.174
3 Heroines,Kartini: Princess of Java,Movie,"Dramas, International Movies",0.138
Blue Mountain State: The Rise of Thadland,"The Goods: Live Hard, Sell Hard",Movie,Comedies,0.097
Blue Mountain State: The Rise of Thadland,"Ray Romano: Right Here, Around the Corner",Movie,Stand-Up Comedy,0.085
Blue Mountain State: The Rise of Thadland,Killer Inside: The Mind of Aaron Hernandez,TV Show,"Crime TV Shows, Docuseries",0.074
Blue Mountain State: The Rise of Thadland,Grease,Movie,"Classic Movies, Comedies, Music & Musicals",0.073
Blue Mountain State: The Rise of Thadland,Chris D'Elia: Incorrigible,Movie,Stand-Up Comedy,0.072
Blue Planet II,Planet Earth II,TV Show,"British TV Shows, Docuseries, Science & Nature TV",0.44
Blue Planet II,Life Story,TV Show,"British TV Shows, Docuseries, Science & Nature TV",0.339
Blue Planet II,Africa,TV Show,"British TV Shows, Docuseries, International TV Shows",0.319
Blue Planet II,Our Planet,TV Show,"Docuseries, Science & Nature TV",0.3
Blue Planet II,Nature's Great Events: Diaries,TV Show,"British TV Shows, Docuseries, Science & Nature TV",0.286
Blue Ruin,Murder Party,Movie,"Comedies, Cult Movies, Horror Movies",0.221
Blue Ruin,Green Room,Movie,"Horror Movies, Thrillers",0.143
Blue Ruin,Small Crimes,Movie,"Dramas, Thrillers",0.11
Blue Ruin,Hold the Dark,Movie,"Action & Adventure, Dramas",0.108
Blue Ruin,Mustang Island,Movie,"Comedies, Dramas, Independent Movies",0.108
Blue Streak,Dave Chappelle,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies",0.137
Blue Streak,Dave Chappelle: Equanimity & The Bird Revelation,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies",0.128
Blue Streak,Dave Chappelle: Sticks & Stones,Movie,Stand-Up Comedy,0.127
Blue Streak,How It Ends,Movie,"Action & Adventure, Sci-Fi & Fantasy",0.111
Blue Streak,Martin Lawrence Live: Runteldat,Movie,Stand-Up Comedy,0.098
Blue Valentine,The Place Beyond the Pines,Movie,"Dramas, Independent Movies",0.14
Blue Valentine,The Trial of the Chicago 7,Movie,Dramas,0.103
Blue Valentine,The Case for Christ,Movie,"Dramas, Faith & Spirituality",0.095
Blue Valentine,The Company Men,Movie,"Dramas, Independent Movies",0.091
Blue Valentine,Concussion,Movie,"Dramas, Independent Movies, LGBTQ Movies",0.085
BluffMaster!,Dostana,Movie,"Comedies, Dramas, International Movies",0.191
BluffMaster!,Santa Banta Pvt Ltd,Movie,"Comedies, International Movies",0.177
BluffMaster!,Tere Naal Love Ho Gaya,Movie,"Comedies, International Movies, Romantic Movies",0.163
BluffMaster!,Dhamaal,Movie,"Action & Adventure, Comedies, International Movies",0.145
BluffMaster!,Game,Movie,"International Movies, Thrillers",0.144
Blurred Lines: Inside the Art World,The Movies That Made Us,TV Show,Docuseries,0.164
Blurred Lines: Inside the Art World,David Foster: Off the Record,Movie,"Documentaries, Music & Musicals",0.157
Blurred Lines: Inside the Art World,"Waiting for ""Superman""",Movie,Documentaries,0.143
Blurred Lines: Inside the Art World,The Milk System,Movie,"Documentaries, International Movies",0.133
Blurred Lines: Inside the Art World,Prosecuting Evil: The Extraordinary World of Ben Ferencz,Movie,Documentaries,0.132
BNA,Haikyu!!,TV Show,"Anime Series, International TV Shows, Teen TV Shows",0.183
BNA,Megalobox,TV Show,"Anime Series, International TV Shows",0.172
BNA,One-Punch Man,TV Show,"Anime Series, Crime TV Shows, International TV Shows",0.109
BNA,Little Witch Academia,TV Show,"Anime Series, International TV Shows",0.109
BNA,The Promised Neverland,TV Show,"Anime Series, International TV Shows, TV Thrillers",0.1
BNK48: Girls Don't Cry,One Take,Movie,"Documentaries, International Movies, Music & Musicals",0.388
BNK48: Girls Don't Cry,Happy Old Year,Movie,"Dramas, International Movies, Romantic Movies",0.177
BNK48: Girls Don't Cry,Parchís: the Documentary,Movie,"Documentaries, International Movies, Music & Musicals",0.162
BNK48: Girls Don't Cry,Tokyo Idols,Movie,"Documentaries, International Movies, Music & Musicals",0.133
BNK48: Girls Don't Cry,Hope Frozen: A Quest to Live Twice,Movie,"Documentaries, International Movies",0.129
Bo Burnham: Make Happy,Bo Burnham: what.,Movie,Stand-Up Comedy,0.639
Bo Burnham: Make Happy,Chris Rock: Tamborine,Movie,Stand-Up Comedy,0.338
Bo Burnham: Make Happy,MONKART,TV Show,"Kids' TV, Korean TV Shows",0.135
Bo Burnham: Make Happy,Hasan Minhaj: Homecoming King,Movie,Stand-Up Comedy,0.132
Bo Burnham: Make Happy,Jeff Garlin: Our Man In Chicago,Movie,Stand-Up Comedy,0.125
3 Idiots,PK,Movie,"Comedies, Dramas, International Movies",0.326
3 Idiots,Rang De Basanti,Movie,"Dramas, International Movies",0.185
3 Idiots,Sanju,Movie,"Dramas, International Movies",0.181
3 Idiots,Ek Main Aur Ekk Tu,Movie,"Comedies, International Movies, Romantic Movies",0.179
3 Idiots,War Chhod Na Yaar,Movie,"Comedies, Dramas, International Movies",0.169
Bo Burnham: what.,Bo Burnham: Make Happy,Movie,"Music & Musicals, Stand-Up Comedy",0.639
Bo Burnham: what.,Chris Rock: Tamborine,Movie,Stand-Up Comedy,0.313
Bo Burnham: what.,Jeff Garlin: Our Man In Chicago,Movie,Stand-Up Comedy,0.141
Bo Burnham: what.,Colin Quinn: Red State Blue State,Movie,Stand-Up Comedy,0.133
Bo Burnham: what.,MONKART,TV Show,"Kids' TV, Korean TV Shows",0.132
Bo on the Go!,Tiny Creatures,TV Show,"Docuseries, Science & Nature TV, TV Action & Adventure",0.132
Bo on the Go!,Chhota Bheem,TV Show,Kids' TV,0.131
Bo on the Go!,MONKART,TV Show,"Kids' TV, Korean TV Shows",0.121
Bo on the Go!,The Day My Butt Went Psycho!,TV Show,"Kids' TV, TV Comedies",0.113
Bo on the Go!,Sam & Cat,TV Show,"Kids' TV, TV Comedies",0.113
Bob Lazar: Area 51 & Flying Saucers,Patient Seventeen,Movie,Documentaries,0.268
Bob Lazar: Area 51 & Flying Saucers,Tom Segura: Mostly Stories,Movie,Stand-Up Comedy,0.108
Bob Lazar: Area 51 & Flying Saucers,The Perfect Date,Movie,"Comedies, Romantic Movies",0.099
Bob Lazar: Area 51 & Flying Saucers,Raiders!: The Story of the Greatest Fan Film Ever Made,Movie,Documentaries,0.096
Bob Lazar: Area 51 & Flying Saucers,Jeremy Scott: The People's Designer,Movie,Documentaries,0.073
Bob Ross: Beauty Is Everywhere,Chill with Bob Ross,TV Show,TV Shows,0.268
Bob Ross: Beauty Is Everywhere,Dare to Be Wild,Movie,"Dramas, Independent Movies, Romantic Movies",0.13
Bob Ross: Beauty Is Everywhere,Bumping Mics with Jeff Ross & Dave Attell,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies",0.124
Bob Ross: Beauty Is Everywhere,The Other One: The Long Strange Trip of Bob Weir,Movie,"Documentaries, Music & Musicals",0.113
Bob Ross: Beauty Is Everywhere,Moving Art,TV Show,"Docuseries, Science & Nature TV",0.109
Bob's Broken Sleigh,The Christmas Chronicles: Part Two,Movie,"Children & Family Movies, Comedies",0.134
Bob's Broken Sleigh,Hulk Vs.,Movie,"Action & Adventure, Sci-Fi & Fantasy",0.119
Bob's Broken Sleigh,LEGO Ninjago: Masters of Spinjitzu,TV Show,Kids' TV,0.108
Bob's Broken Sleigh,LEGO Ninjago,TV Show,Kids' TV,0.106
Bob's Broken Sleigh,Elliot the Littlest Reindeer,Movie,Children & Family Movies,0.104
Bobbi Jene,Mr. Gaga: A True Story of Love and Dance,Movie,"Documentaries, International Movies",0.291
Bobbi Jene,One Strange Rock,TV Show,"Docuseries, Science & Nature TV",0.112
Bobbi Jene,Driven to Dance,Movie,Dramas,0.103
Bobbi Jene,Guru Aur Bhole,TV Show,"Kids' TV, TV Comedies",0.101
Bobbi Jene,Battle,Movie,"Dramas, International Movies, Romantic Movies",0.082
Bobbleheads The Movie,Lego DC Comics: Batman Be-Leaguered,Movie,Movies,0.102
Bobbleheads The Movie,Secret Obsession,Movie,Thrillers,0.099
Bobbleheads The Movie,Transformers: Robots in Disguise,TV Show,Kids' TV,0.098
Bobbleheads The Movie,Kipo and the Age of Wonderbeasts,TV Show,"Kids' TV, TV Comedies",0.095
Bobbleheads The Movie,Glitter Force Doki Doki,TV Show,"Anime Series, Kids' TV",0.087
Bobby,Patiala House,Movie,"Dramas, International Movies, Sports Movies",0.2
Bobby,Sangam,Movie,"Classic Movies, Dramas, International Movies",0.19
Bobby,Duniya,Movie,"Action & Adventure, Dramas, International Movies",0.183
Bobby,Friendship,Movie,"Action & Adventure, Dramas, International Movies",0.17
Bobby,Ram Teri Ganga Maili,Movie,"Classic Movies, Dramas, International Movies",0.16
Bobby Jasoos,Fashion,Movie,"Dramas, International Movies",0.142
Bobby Jasoos,Ghanchakkar,Movie,"Comedies, International Movies, Thrillers",0.126
Bobby Jasoos,Bittoo Boss,Movie,"Comedies, Dramas, International Movies",0.118
Bobby Jasoos,Bewafaa,Movie,"Dramas, International Movies, Romantic Movies",0.118
Bobby Jasoos,Shanghai,Movie,"Dramas, Independent Movies, International Movies",0.114
Bobby Kennedy for President,Salam - The First ****** Nobel Laureate,Movie,Documentaries,0.129
